1981-05-25,National Missing Children's Day,Observance
1981-05-29,International Day of United Nations Peacekeepers,United Nations observance
1981-05-31,Trinity Sunday,Christian
1981-05-31,World No Tobacco Day,United Nations observance
1981-06-01,Global Day of Parents,United Nations observance
1981-06-01,Day of Vesak,United Nations observance
1981-06-01,Statehood Day,Local observance
1981-06-01,Jefferson Davis Birthday,State holiday
1981-06-03,Jefferson Davis Birthday,Local observance
1981-06-04,Corpus Christi,Christian
1981-06-04,International Day of Innocent Children Victims of Aggression,United Nations observance
1981-06-05,World Environment Day,United Nations observance
1981-06-06,D-Day,Observance
1981-06-08,World Oceans Day,United Nations observance
1981-06-11,Kamehameha Day,State holiday
1981-06-12,World Day Against Child Labour,United Nations observance
1981-06-14,World Blood Donor Day,United Nations observance
1981-06-14,Flag Day,Observance
1981-06-15,World Elder Abuse Awareness Day,United Nations observance
1981-06-17,World Day to Combat Desertification and Drought,United Nations observance
1981-06-17,Bunker Hill Day,State holiday
1981-06-18,Ramadan starts,Muslim
1981-06-19,Juneteenth,Local observance
1981-06-19,Emancipation Day,State holiday
1981-06-20,World Refugee Day,United Nations observance
1981-06-20,West Virginia Day,State holiday
1981-06-21,June Solstice,Season
1981-06-21,Fathers' Day,Observance
1981-06-23,Public Service Day,United Nations observance
1981-06-23,International Widows' Day,United Nations observance
1981-06-25,Day of the Seafarer,United Nations observance
1981-06-26,International Day Against Drug Abuse and Illicit Trafficking,United Nations observance
1981-06-26,International Day in Support of Victims of Torture,United Nations observance
1981-07-03,Independence Day observed,National holiday
1981-07-04,International Day of Cooperatives,United Nations observance
1981-07-04,Independence Day,National holiday
1981-07-11,World Population Day,United Nations observance
1981-07-13,Lailat al-Qadr,Muslim
1981-07-18,Eid al-Fitr,Muslim
1981-07-18,Nelson Mandela Day,United Nations observance
1981-07-22,Pi Approximation Day,Worldwide observance
1981-07-24,Pioneer Day,State holiday
1981-07-26,Tisha B'Av,Jewish holiday
1981-07-26,Parents' Day,Observance
1981-07-28,World Hepatitis Day,United Nations observance
1981-07-30,International Day of Friendship,United Nations observance
1981-08-01,Colorado Day,Local observance
1981-08-09,International Day of the World's Indigenous People,United Nations observance
1981-08-10,Victory Day,State holiday
1981-08-12,International Youth Day,United Nations observance
1981-08-15,Assumption of Mary,Christian
1981-08-16,Bennington Battle Day,State holiday
1981-08-17,Bennington Battle Day observed,State holiday
1981-08-19,World Humanitarian Day,United Nations observance
1981-08-19,National Aviation Day,Observance
1981-08-21,Statehood Day in Hawaii,State holiday
1981-08-21,Senior Citizens Day,Observance
1981-08-23,International Day for the Remembrance of the Slave Trade and its Abolition,United Nations observance
1981-08-26,Women's Equality Day,Observance
1981-08-27,Lyndon Baines Johnson Day,State holiday
